Filename, Success, bbox_x1, bbox_y1, bbox_x2, bbox_y2, score
1_s1_fi3_fu1_b0_l1, 1,  481,  505,  544,  600, 1.00
1_s1_fi3_fu2_b0_l1, 1,  513,  494,  579,  588, 1.00
1_s1_fi0_fu0_b1_l0, 1,  456,  447,  519,  533, 1.00
1_s1_fi1_fu1_b1_l0, 1,  499,  490,  562,  579, 1.00
1_s1_fi1_fu2_b1_l0, 1,  493,  485,  560,  573, 1.00
1_s1_fi2_fu1_b1_l0, 1,  493,  487,  559,  575, 1.00
1_s1_fi2_fu2_b1_l0, 1,  503,  492,  568,  586, 1.00
1_s1_fi3_fu1_b1_l0, 1,  503,  489,  565,  580, 1.00
1_s1_fi3_fu2_b1_l0, 1,  492,  504,  560,  591, 1.00
1_s1_fi0_fu0_b1_l1, 1,  430,  519,  503,  604, 0.96
1_s1_fi1_fu1_b1_l1, 1,  476,  492,  554,  579, 1.00
1_s1_fi1_fu2_b1_l1, 1,  361,  504,  438,  609, 0.97
1_s1_fi2_fu1_b1_l1, 1,  459,  494,  528,  575, 1.00
1_s1_fi2_fu2_b1_l1, 1,  471,  489,  540,  564, 1.00
1_s1_fi3_fu1_b1_l1, 1,  458,  503,  528,  586, 0.99
1_s1_fi3_fu2_b1_l1, 1,  460,  497,  529,  571, 0.98
1_s2_fi0_fu0_b0_l0, 1,    0,  254,   44,  310, 0.97
1_s2_fi1_fu1_b0_l0, 1,    0,  231,   42,  289, 0.99
1_s2_fi1_fu2_b0_l0, 1,   45,  604,  117,  671, 0.53
1_s2_fi2_fu1_b0_l0, 1,   43,  604,  115,  670, 0.56
1_s2_fi2_fu2_b0_l0, 1,   45,  604,  117,  674, 0.61
1_s2_fi3_fu1_b0_l0, 1,    3,  243,   50,  304, 1.00
1_s2_fi3_fu2_b0_l0, 1,    0,  244,   42,  303, 0.99
1_s2_fi0_fu0_b0_l1, 1,   45,  604,  116,  669, 0.61
1_s2_fi1_fu1_b0_l1, 0,    0,    0,    0,    0, -1.00
1_s2_fi1_fu2_b0_l1, 0,    0,    0,    0,    0, -1.00
1_s2_fi2_fu1_b0_l1, 1,   43,  604,  114,  671, 0.65
1_s2_fi2_fu2_b0_l1, 0,    0,    0,    0,    0, -1.00
1_s2_fi3_fu1_b0_l1, 1,   44,  606,  115,  673, 0.75
1_s2_fi3_fu2_b0_l1, 0,    0,    0,    0,    0, -1.00
1_s2_fi0_fu0_b1_l0, 1,   45,  605,  117,  671, 0.64
1_s2_fi1_fu1_b1_l0, 1,    0,  274,   29,  327, 0.94
1_s2_fi1_fu2_b1_l0, 1,    1,  259,   44,  315, 0.98
1_s2_fi2_fu1_b1_l0, 1,   19,  273,   68,  330, 0.99
1_s2_fi2_fu2_b1_l0, 1,   31,  264,   78,  320, 0.99
1_s2_fi3_fu1_b1_l0, 1,   46,  250,   88,  309, 0.99
1_s2_fi3_fu2_b1_l0, 1,   50,  259,   99,  316, 0.99
1_s2_fi0_fu0_b1_l1, 0,    0,    0,    0,    0, -1.00
1_s2_fi1_fu1_b1_l1, 1,   31,  298,   80,  354, 0.99
1_s2_fi1_fu2_b1_l1, 1,   33,  303,   77,  359, 0.99
1_s2_fi2_fu1_b1_l1, 1,   60,  320,  104,  379, 0.99
1_s2_fi2_fu2_b1_l1, 1,   27,  306,   75,  364, 0.98
1_s2_fi3_fu1_b1_l1, 1,   41,  302,   85,  361, 0.99
1_s2_fi3_fu2_b1_l1, 1,   36,  316,   79,  372, 1.00
2_s0_fi0_fu0_b0_l0, 1,  475,  537,  520,  602, 1.00
2_s0_fi1_fu1_b0_l0, 1,  476,  532,  519,  596, 1.00
2_s0_fi1_fu2_b0_l0, 1,  483,  533,  526,  597, 1.00
2_s0_fi2_fu1_b0_l0, 1,  468,  534,  511,  599, 1.00
2_s0_fi2_fu2_b0_l0, 1,  479,  535,  523,  599, 1.00
2_s0_fi3_fu1_b0_l0, 1,  478,  539,  522,  604, 1.00
2_s0_fi3_fu2_b0_l0, 1,  473,  541,  518,  606, 1.00
2_s0_fi0_fu0_b0_l1, 1,  467,  534,  510,  599, 1.00
2_s0_fi1_fu1_b0_l1, 1,  471,  532,  513,  596, 1.00
2_s0_fi1_fu2_b0_l1, 1,  467,  534,  509,  598, 1.00
2_s0_fi2_fu1_b0_l1, 1,  466,  534,  508,  598, 1.00
2_s0_fi2_fu2_b0_l1, 1,  475,  532,  518,  596, 1.00
2_s0_fi3_fu1_b0_l1, 1,  471,  533,  514,  598, 1.00
2_s0_fi3_fu2_b0_l1, 1,  463,  538,  507,  602, 1.00
2_s0_fi0_fu0_b1_l0, 1,  424,  563,  472,  632, 1.00
2_s0_fi1_fu1_b1_l0, 1,  464,  578,  511,  651, 1.00
2_s0_fi1_fu2_b1_l0, 1,  450,  573,  497,  645, 1.00
2_s0_fi2_fu1_b1_l0, 1,  458,  577,  505,  650, 1.00
2_s0_fi2_fu2_b1_l0, 1,  447,  575,  495,  646, 1.00
2_s0_fi3_fu1_b1_l0, 1,  458,  575,  506,  648, 1.00
2_s0_fi3_fu2_b1_l0, 1,  472,  568,  519,  639, 1.00
2_s0_fi0_fu0_b1_l1, 1,  436,  572,  487,  641, 1.00
2_s0_fi1_fu1_b1_l1, 1,  425,  567,  475,  638, 1.00
2_s0_fi1_fu2_b1_l1, 1,  421,  572,  471,  640, 1.00
2_s0_fi2_fu1_b1_l1, 1,  425,  567,  475,  639, 1.00
2_s0_fi2_fu2_b1_l1, 1,  427,  566,  477,  638, 1.00
2_s0_fi3_fu1_b1_l1, 1,  434,  573,  484,  643, 1.00
2_s0_fi3_fu2_b1_l1, 1,  421,  568,  470,  639, 1.00
2_s1_fi0_fu0_b0_l0, 1,  522,  481,  566,  535, 1.00
2_s1_fi1_fu1_b0_l0, 1,  510,  488,  553,  541, 0.98
2_s1_fi1_fu2_b0_l0, 1,  519,  488,  560,  547, 0.99
2_s1_fi2_fu1_b0_l0, 1,  539,  487,  586,  538, 0.95
2_s1_fi2_fu2_b0_l0, 1,  506,  482,  550,  527, 0.98
2_s1_fi3_fu1_b0_l0, 1,  431,  474,  499,  564, 0.94
2_s1_fi3_fu2_b0_l0, 1,  453,  463,  521,  562, 0.97
2_s1_fi0_fu0_b0_l1, 1,  478,  500,  524,  561, 1.00
2_s1_fi1_fu1_b0_l1, 1,  502,  531,  552,  598, 0.99
2_s1_fi1_fu2_b0_l1, 1,  487,  520,  536,  583, 0.99
2_s1_fi2_fu1_b0_l1, 1,  485,  519,  534,  588, 1.00
2_s1_fi2_fu2_b0_l1, 1,  495,  521,  544,  586, 0.99
2_s1_fi3_fu1_b0_l1, 1,  485,  532,  536,  598, 0.99
2_s1_fi3_fu2_b0_l1, 1,  497,  509,  546,  572, 0.99
2_s1_fi0_fu0_b1_l0, 1,  479,  502,  525,  544, 0.99
2_s1_fi1_fu1_b1_l0, 1,  499,  513,  547,  555, 0.99
2_s1_fi1_fu2_b1_l0, 1,  492,  511,  542,  558, 1.00
2_s1_fi2_fu1_b1_l0, 1,  497,  505,  544,  561, 0.99
2_s1_fi2_fu2_b1_l0, 1,  501,  518,  549,  563, 0.99
2_s1_fi3_fu1_b1_l0, 1,  480,  518,  528,  566, 0.99
2_s1_fi3_fu2_b1_l0, 1,  487,  512,  538,  562, 0.99
2_s1_fi0_fu0_b1_l1, 1,  435,  523,  489,  572, 0.93
2_s1_fi1_fu1_b1_l1, 1,  455,  521,  507,  559, 0.96
2_s1_fi1_fu2_b1_l1, 1,  346,  508,  424,  606, 0.98
2_s1_fi2_fu1_b1_l1, 1,  466,  512,  515,  549, 0.98
2_s1_fi2_fu2_b1_l1, 1,  466,  521,  514,  558, 0.98
2_s1_fi3_fu1_b1_l1, 1,  358,  491,  438,  594, 0.97
2_s1_fi3_fu2_b1_l1, 1,  355,  496,  434,  603, 0.98
2_s2_fi0_fu0_b0_l0, 1,   44,  605,  117,  675, 0.86
2_s2_fi1_fu1_b0_l0, 1,   43,  605,  116,  675, 0.72
2_s2_fi1_fu2_b0_l0, 1,    0,  263,   28,  302, 0.69
2_s2_fi2_fu1_b0_l0, 1,    7,  271,   45,  309, 0.78
2_s2_fi2_fu2_b0_l0, 1,   43,  605,  117,  675, 0.78
2_s2_fi3_fu1_b0_l0, 1,   43,  604,  117,  673, 0.59
2_s2_fi3_fu2_b0_l0, 1,   11,  248,   53,  291, 0.65
2_s2_fi0_fu0_b0_l1, 0,    0,    0,    0,    0, -1.00
2_s2_fi1_fu1_b0_l1, 1,   43,  606,  113,  674, 0.62
2_s2_fi1_fu2_b0_l1, 0,    0,    0,    0,    0, -1.00
2_s2_fi2_fu1_b0_l1, 1,   44,  604,  114,  671, 0.51
2_s2_fi2_fu2_b0_l1, 0,    0,    0,    0,    0, -1.00
2_s2_fi3_fu1_b0_l1, 1,   44,  606,  114,  673, 0.64
2_s2_fi3_fu2_b0_l1, 1,   44,  604,  113,  672, 0.61
2_s2_fi0_fu0_b1_l0, 1,   43,  605,  116,  672, 0.74
2_s2_fi1_fu1_b1_l0, 1,   13,  272,   56,  312, 0.64
2_s2_fi1_fu2_b1_l0, 1,   11,  262,   51,  304, 0.89
2_s2_fi2_fu1_b1_l0, 1,   43,  605,  117,  675, 0.74
2_s2_fi2_fu2_b1_l0, 1,   36,  255,   72,  295, 0.95
2_s2_fi3_fu1_b1_l0, 1,   12,  255,   54,  298, 0.94
2_s2_fi3_fu2_b1_l0, 1,   45,  606,  116,  673, 0.90
2_s2_fi0_fu0_b1_l1, 0,    0,    0,    0,    0, -1.00
2_s2_fi1_fu1_b1_l1, 1,   37,  292,   73,  331, 0.96
2_s2_fi1_fu2_b1_l1, 1,   40,  299,   74,  337, 0.96
2_s2_fi2_fu1_b1_l1, 1,   55,  288,   88,  327, 0.89
2_s2_fi2_fu2_b1_l1, 1,   65,  296,   99,  334, 0.97
2_s2_fi3_fu1_b1_l1, 1,   31,  294,   73,  334, 0.97
2_s2_fi3_fu2_b1_l1, 1,   47,  294,   84,  334, 0.89
3_s0_fi0_fu0_b0_l0, 1,  473,  535,  520,  570, 0.96
3_s0_fi1_fu1_b0_l0, 1,  485,  541,  528,  605, 0.99
3_s0_fi1_fu2_b0_l0, 1,  487,  536,  532,  581, 0.96
3_s0_fi2_fu1_b0_l0, 1,  484,  531,  531,  571, 0.99
3_s0_fi2_fu2_b0_l0, 1,  484,  535,  527,  597, 0.97
3_s0_fi3_fu1_b0_l0, 1,  479,  530,  519,  569, 0.96
3_s0_fi3_fu2_b0_l0, 1,  474,  535,  516,  601, 0.99
3_s0_fi0_fu0_b0_l1, 0,    0,    0,    0,    0, -1.00
3_s0_fi1_fu1_b0_l1, 1,  354,  488,  431,  588, 0.98
3_s0_fi1_fu2_b0_l1, 1,  474,  531,  516,  572, 0.99
3_s0_fi2_fu1_b0_l1, 1,  371,  490,  448,  591, 0.98
3_s0_fi2_fu2_b0_l1, 1,  488,  545,  530,  606, 0.98
3_s0_fi3_fu1_b0_l1, 1,  341,  496,  420,  602, 0.97
3_s0_fi3_fu2_b0_l1, 1,  337,  495,  415,  601, 0.97
3_s0_fi0_fu0_b1_l0, 0,    0,    0,    0,    0, -1.00
3_s0_fi1_fu1_b1_l0, 1,  462,  586,  508,  648, 0.98
3_s0_fi1_fu2_b1_l0, 1,  354,  519,  447,  642, 0.95
3_s0_fi2_fu1_b1_l0, 1,  342,  523,  434,  648, 0.97
3_s0_fi2_fu2_b1_l0, 1,  341,  518,  436,  643, 0.95
3_s0_fi3_fu1_b1_l0, 1,  339,  529,  433,  645, 0.98
3_s0_fi3_fu2_b1_l0, 1,  344,  520,  430,  631, 0.97
3_s0_fi0_fu0_b1_l1, 0,    0,    0,    0,    0, -1.00
3_s0_fi1_fu1_b1_l1, 1,  292,  518,  382,  629, 0.97
3_s0_fi1_fu2_b1_l1, 1,  283,  519,  371,  632, 0.95
3_s0_fi2_fu1_b1_l1, 1,  292,  519,  381,  631, 0.97
3_s0_fi2_fu2_b1_l1, 1,  312,  516,  400,  627, 0.98
3_s0_fi3_fu1_b1_l1, 1,  297,  520,  385,  633, 0.98
3_s0_fi3_fu2_b1_l1, 1,  302,  518,  388,  628, 0.98
3_s1_fi0_fu0_b0_l0, 1,  533,  492,  571,  540, 0.97
3_s1_fi1_fu1_b0_l0, 1,  396,  459,  466,  551, 0.99
3_s1_fi1_fu2_b0_l0, 1,  462,  465,  531,  556, 0.88
3_s1_fi2_fu1_b0_l0, 1,  417,  461,  492,  566, 0.92
3_s1_fi2_fu2_b0_l0, 1,  368,  401,  456,  514, 0.78
3_s1_fi3_fu1_b0_l0, 1,  534,  507,  579,  554, 0.96
3_s1_fi3_fu2_b0_l0, 1,  573,  511,  618,  573, 0.96
3_s1_fi0_fu0_b0_l1, 1,  492,  527,  540,  573, 0.99
3_s1_fi1_fu1_b0_l1, 1,  382,  488,  460,  594, 0.98
3_s1_fi1_fu2_b0_l1, 1,  392,  491,  469,  605, 0.96
3_s1_fi2_fu1_b0_l1, 1,  392,  492,  480,  605, 0.95
3_s1_fi2_fu2_b0_l1, 1,  500,  523,  549,  581, 0.99
3_s1_fi3_fu1_b0_l1, 1,  512,  526,  560,  577, 0.99
3_s1_fi3_fu2_b0_l1, 1,  494,  523,  539,  580, 0.85
3_s1_fi0_fu0_b1_l0, 1,   42,  607,  116,  675, 0.91
3_s1_fi1_fu1_b1_l0, 1,  379,  477,  459,  584, 0.97
3_s1_fi1_fu2_b1_l0, 1,  480,  501,  528,  542, 0.96
3_s1_fi2_fu1_b1_l0, 1,  500,  506,  550,  551, 0.98
3_s1_fi2_fu2_b1_l0, 1,  482,  523,  533,  570, 0.99
3_s1_fi3_fu1_b1_l0, 1,  480,  515,  531,  558, 0.97
3_s1_fi3_fu2_b1_l0, 1,  383,  482,  465,  589, 0.96
3_s1_fi0_fu0_b1_l1, 0,    0,    0,    0,    0, -1.00
3_s1_fi1_fu1_b1_l1, 1,  351,  491,  432,  600, 0.97
3_s1_fi1_fu2_b1_l1, 1,  360,  500,  439,  605, 0.96
3_s1_fi2_fu1_b1_l1, 1,  348,  507,  430,  614, 0.80
3_s1_fi2_fu2_b1_l1, 1,  364,  494,  450,  599, 0.98
3_s1_fi3_fu1_b1_l1, 1,  343,  466,  424,  573, 0.99
3_s1_fi3_fu2_b1_l1, 1,  339,  488,  429,  600, 0.94
3_s2_fi0_fu0_b0_l0, 1,   43,  605,  117,  674, 0.56
3_s2_fi1_fu1_b0_l0, 1,   45,  604,  117,  673, 0.86
3_s2_fi1_fu2_b0_l0, 1,   44,  605,  118,  674, 0.63
3_s2_fi2_fu1_b0_l0, 0,    0,    0,    0,    0, -1.00
3_s2_fi2_fu2_b0_l0, 1,    0,  242,   38,  307, 0.77
3_s2_fi3_fu1_b0_l0, 1,   44,  605,  117,  674, 0.81
3_s2_fi3_fu2_b0_l0, 0,    0,    0,    0,    0, -1.00
3_s2_fi0_fu0_b0_l1, 1,   43,  605,  114,  673, 0.67
3_s2_fi1_fu1_b0_l1, 1,   42,  605,  114,  671, 0.70
3_s2_fi1_fu2_b0_l1, 1,    2,  264,   42,  327, 0.71
3_s2_fi2_fu1_b0_l1, 1,   45,  606,  114,  672, 0.56
3_s2_fi2_fu2_b0_l1, 0,    0,    0,    0,    0, -1.00
3_s2_fi3_fu1_b0_l1, 0,    0,    0,    0,    0, -1.00
3_s2_fi3_fu2_b0_l1, 1,   43,  606,  115,  673, 0.74
3_s2_fi0_fu0_b1_l0, 0,    0,    0,    0,    0, -1.00
3_s2_fi1_fu1_b1_l0, 1,   44,  606,  115,  670, 0.57
3_s2_fi1_fu2_b1_l0, 1,   44,  606,  117,  675, 0.82
3_s2_fi2_fu1_b1_l0, 0,    0,    0,    0,    0, -1.00
3_s2_fi2_fu2_b1_l0, 1,   43,  604,  117,  672, 0.51
3_s2_fi3_fu1_b1_l0, 1,   44,  602,  117,  674, 0.63
3_s2_fi3_fu2_b1_l0, 1,   43,  605,  116,  672, 0.77
3_s2_fi0_fu0_b1_l1, 0,    0,    0,    0,    0, -1.00
3_s2_fi1_fu1_b1_l1, 0,    0,    0,    0,    0, -1.00
3_s2_fi1_fu2_b1_l1, 0,    0,    0,    0,    0, -1.00
3_s2_fi2_fu1_b1_l1, 1,   29,  271,   77,  329, 0.76
3_s2_fi2_fu2_b1_l1, 0,    0,    0,    0,    0, -1.00
3_s2_fi3_fu1_b1_l1, 0,    0,    0,    0,    0, -1.00
3_s2_fi3_fu2_b1_l1, 1,    1,  275,   66,  339, 0.88
4_s0_fi0_fu0_b0_l0, 1,  466,  533,  520,  602, 1.00
4_s0_fi1_fu1_b0_l0, 1,  488,  533,  542,  603, 1.00
4_s0_fi1_fu2_b0_l0, 1,  478,  531,  533,  601, 1.00
4_s0_fi2_fu1_b0_l0, 1,  476,  532,  531,  601, 1.00
4_s0_fi2_fu2_b0_l0, 1,  454,  532,  510,  602, 1.00
4_s0_fi3_fu1_b0_l0, 1,  470,  532,  523,  601, 1.00
4_s0_fi3_fu2_b0_l0, 1,  474,  528,  528,  597, 1.00
4_s0_fi0_fu0_b0_l1, 1,  462,  528,  519,  597, 0.98
4_s0_fi1_fu1_b0_l1, 1,  465,  533,  519,  601, 0.99
4_s0_fi1_fu2_b0_l1, 1,  472,  529,  525,  598, 0.99
4_s0_fi2_fu1_b0_l1, 1,  476,  528,  530,  597, 1.00
4_s0_fi2_fu2_b0_l1, 1,  467,  531,  520,  601, 0.99
4_s0_fi3_fu1_b0_l1, 1,  477,  533,  531,  603, 0.99
4_s0_fi3_fu2_b0_l1, 1,  457,  532,  510,  600, 1.00
4_s0_fi0_fu0_b1_l0, 1,  453,  534,  508,  606, 1.00
4_s0_fi1_fu1_b1_l0, 1,  470,  566,  531,  643, 1.00
4_s0_fi1_fu2_b1_l0, 1,  460,  575,  521,  650, 1.00
4_s0_fi2_fu1_b1_l0, 1,  458,  573,  521,  651, 0.99
4_s0_fi2_fu2_b1_l0, 1,  486,  567,  549,  646, 1.00
4_s0_fi3_fu1_b1_l0, 1,  470,  576,  532,  656, 0.99
4_s0_fi3_fu2_b1_l0, 1,  483,  567,  545,  646, 1.00
4_s0_fi0_fu0_b1_l1, 1,  430,  569,  494,  644, 0.99
4_s0_fi1_fu1_b1_l1, 1,  422,  563,  487,  639, 0.99
4_s0_fi1_fu2_b1_l1, 1,  425,  569,  489,  646, 0.99
4_s0_fi2_fu1_b1_l1, 1,  412,  566,  474,  641, 1.00
4_s0_fi2_fu2_b1_l1, 1,  408,  567,  471,  645, 0.99
4_s0_fi3_fu1_b1_l1, 1,  413,  564,  476,  638, 0.99
4_s0_fi3_fu2_b1_l1, 1,  411,  566,  475,  642, 0.99
4_s1_fi0_fu0_b0_l0, 1,  521,  486,  569,  517, 0.87
4_s1_fi1_fu1_b0_l0, 1,  375,  472,  449,  568, 0.97
4_s1_fi1_fu2_b0_l0, 1,  385,  453,  461,  549, 0.98
4_s1_fi2_fu1_b0_l0, 1,  552,  488,  607,  553, 0.86
4_s1_fi2_fu2_b0_l0, 1,  392,  406,  484,  518, 0.93
4_s1_fi3_fu1_b0_l0, 1,  415,  460,  486,  560, 0.98
4_s1_fi3_fu2_b0_l0, 1,  444,  459,  515,  552, 0.98
4_s1_fi0_fu0_b0_l1, 1,  492,  504,  549,  570, 0.99
4_s1_fi1_fu1_b0_l1, 1,  489,  521,  552,  592, 0.98
4_s1_fi1_fu2_b0_l1, 1,  496,  514,  557,  589, 0.98
4_s1_fi2_fu1_b0_l1, 1,  510,  514,  569,  585, 0.99
4_s1_fi2_fu2_b0_l1, 1,  400,  468,  481,  571, 0.92
4_s1_fi3_fu1_b0_l1, 1,  375,  479,  457,  587, 0.97
4_s1_fi3_fu2_b0_l1, 1,  487,  508,  548,  584, 0.97
4_s1_fi0_fu0_b1_l0, 1,  467,  481,  528,  530, 0.98
4_s1_fi1_fu1_b1_l0, 1,  469,  482,  530,  542, 0.99
4_s1_fi1_fu2_b1_l0, 1,  484,  508,  544,  575, 0.98
4_s1_fi2_fu1_b1_l0, 1,  490,  500,  549,  567, 0.99
4_s1_fi2_fu2_b1_l0, 1,  482,  520,  542,  598, 0.99
4_s1_fi3_fu1_b1_l0, 1,  368,  479,  451,  589, 0.98
4_s1_fi3_fu2_b1_l0, 1,  455,  508,  518,  578, 0.95
4_s1_fi0_fu0_b1_l1, 0,    0,    0,    0,    0, -1.00
4_s1_fi1_fu1_b1_l1, 1,  454,  526,  514,  601, 0.95
4_s1_fi1_fu2_b1_l1, 1,  360,  507,  440,  613, 0.96
4_s1_fi2_fu1_b1_l1, 1,  309,  495,  400,  611, 0.93
4_s1_fi2_fu2_b1_l1, 1,  313,  501,  400,  612, 0.96
4_s1_fi3_fu1_b1_l1, 1,  342,  476,  427,  584, 0.96
4_s1_fi3_fu2_b1_l1, 1,  346,  490,  429,  599, 0.97
4_s2_fi0_fu0_b0_l0, 1,   18,  257,   64,  304, 0.71
4_s2_fi1_fu1_b0_l0, 1,   44,  605,  116,  675, 0.74
4_s2_fi1_fu2_b0_l0, 0,    0,    0,    0,    0, -1.00
4_s2_fi2_fu1_b0_l0, 1,   44,  605,  117,  674, 0.88
4_s2_fi2_fu2_b0_l0, 1,    0,  225,   27,  283, 0.93
4_s2_fi3_fu1_b0_l0, 1,   44,  606,  118,  676, 0.82
4_s2_fi3_fu2_b0_l0, 0,    0,    0,    0,    0, -1.00
4_s2_fi0_fu0_b0_l1, 1,    0,  250,   35,  309, 0.71
4_s2_fi1_fu1_b0_l1, 1,   34,  286,   73,  330, 0.66
4_s2_fi1_fu2_b0_l1, 1,   43,  606,  114,  673, 0.66
4_s2_fi2_fu1_b0_l1, 0,    0,    0,    0,    0, -1.00
4_s2_fi2_fu2_b0_l1, 0,    0,    0,    0,    0, -1.00
4_s2_fi3_fu1_b0_l1, 0,    0,    0,    0,    0, -1.00
4_s2_fi3_fu2_b0_l1, 1,   43,  606,  115,  673, 0.76
4_s2_fi0_fu0_b1_l0, 1,   43,  606,  117,  675, 0.83
4_s2_fi1_fu1_b1_l0, 0,    0,    0,    0,    0, -1.00
4_s2_fi1_fu2_b1_l0, 0,    0,    0,    0,    0, -1.00
4_s2_fi2_fu1_b1_l0, 1,   44,  604,  117,  675, 0.63
4_s2_fi2_fu2_b1_l0, 0,    0,    0,    0,    0, -1.00
4_s2_fi3_fu1_b1_l0, 1,   44,  605,  117,  674, 0.87
4_s2_fi3_fu2_b1_l0, 1,   44,  605,  117,  676, 0.79
4_s2_fi0_fu0_b1_l1, 0,    0,    0,    0,    0, -1.00
4_s2_fi1_fu1_b1_l1, 0,    0,    0,    0,    0, -1.00
4_s2_fi1_fu2_b1_l1, 0,    0,    0,    0,    0, -1.00
4_s2_fi2_fu1_b1_l1, 1,   36,  272,   83,  322, 0.85
4_s2_fi2_fu2_b1_l1, 0,    0,    0,    0,    0, -1.00
4_s2_fi3_fu1_b1_l1, 0,    0,    0,    0,    0, -1.00
4_s2_fi3_fu2_b1_l1, 1,    1,  277,   47,  340, 0.52
5_s0_fi0_fu0_b0_l0, 1,  469,  507,  527,  605, 0.99
5_s0_fi1_fu1_b0_l0, 1,  457,  503,  519,  602, 0.99
5_s0_fi1_fu2_b0_l0, 1,  476,  503,  534,  600, 0.99
5_s0_fi2_fu1_b0_l0, 1,  464,  501,  520,  603, 0.99
5_s0_fi2_fu2_b0_l0, 1,  471,  507,  527,  607, 0.99
5_s0_fi3_fu1_b0_l0, 1,  453,  509,  510,  609, 0.98
5_s0_fi3_fu2_b0_l0, 1,  457,  506,  517,  610, 0.97
5_s0_fi0_fu0_b0_l1, 1,  467,  508,  524,  614, 0.95
5_s0_fi1_fu1_b0_l1, 1,  481,  505,  536,  607, 0.99
5_s0_fi1_fu2_b0_l1, 1,  462,  506,  519,  607, 0.98
5_s0_fi2_fu1_b0_l1, 1,  458,  503,  517,  601, 0.99
5_s0_fi2_fu2_b0_l1, 1,  473,  508,  531,  607, 0.99
5_s0_fi3_fu1_b0_l1, 1,  459,  506,  518,  605, 0.99
5_s0_fi3_fu2_b0_l1, 1,  473,  510,  531,  611, 0.98
5_s0_fi0_fu0_b1_l0, 1,  448,  510,  510,  616, 0.99
5_s0_fi1_fu1_b1_l0, 1,  355,  518,  439,  631, 0.99
5_s0_fi1_fu2_b1_l0, 1,  463,  547,  529,  658, 0.98
5_s0_fi2_fu1_b1_l0, 1,  353,  520,  445,  635, 0.98
5_s0_fi2_fu2_b1_l0, 1,  486,  532,  548,  639, 0.99
5_s0_fi3_fu1_b1_l0, 1,  484,  533,  545,  642, 0.99
5_s0_fi3_fu2_b1_l0, 1,  480,  537,  540,  641, 0.99
